# 
# 03/31/2025 07:23:21
# The parameters defined in the project are:
# ,P17 - length_of_rect [mm],P18 - (115-length_of_rect)*0.5 [mm],P19 - width [mm],P20 - half_of_width [mm],P34 - THICKNESS [mm],P36 - radius [mm],P40 - same_as_thickness [mm],P41 - Remote Force Z Component [N],P49 - angular_vertical_LENG [mm],P42 - Directional Deformation Maximum [mm],P43 - Directional Deformation 2 Maximum [mm],P44 - Equivalent Elastic Strain Maximum [mm mm^-1],P45 - Equivalent Stress Maximum [MPa],P46 - Maximum Shear Stress Maximum [MPa],P47 - Total Deformation Maximum [mm],P48 - Geometry Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P17,P18,P19,P20,P34,P36,P40,P41,P49,P42,P43,P44,P45,P46,P47,P48
DP 0,40,37.5,40,20,4,105,4,100,150,0.0014141611754894257,4.1924190521240234,0.0006767804346357783,135.35599258409047,67.76234445283832,13.491680239929961,0.882446860528785
DP 1,40,37.5,40,20,5,110,5,100,150,0.0011237310245633125,1.7766463756561279,0.00044265464821364732,88.530638191412862,44.310370701140613,7.1673288231098615,1.0390780115292146
DP 2,40,37.5,40,20,5,105,5,100,150,0.0010855789296329021,2.188908576965332,0.00042690480768214911,85.380654283144068,42.733372769456771,7.0092098113204431,1.042825604466536
DP 3,40,37.5,40,20,4,95,4,100,150,0.0012876186519861221,6.1169309616088867,0.00062560807176244759,125.12149427529089,62.636607437260935,13.16211596903633,0.89870678349480593
DP 4,40,37.5,40,20,4,90,4,100,150,0.001224311301484704,7.3746929168701172,0.00059999636141583323,119.9988867778128,60.073644253267688,13.223379705850496,0.91747363717653219
DP 5,50,32.5,50,25,4,105,4,100,150,0.0011767696123570204,3.3182432651519775,0.00055029789655236527,110.05937817270789,55.117044750025251,10.679029301262625,1.062018469770315
DP 6,45,35,45,22.5,5,105,5,100,150,0.00098917330615222454,1.9375236034393311,0.00038479232171084732,76.958225121072871,38.519442311409314,6.2050275107771204,1.1474054483589888
DP 7,40,37.5,40,20,4,100,4,100,150,0.0013533555902540684,5.0827312469482422,0.00065162999817403033,130.32571668804624,65.25656636116905,13.267684944109352,0.88826116186779958
DP 8,40,37.5,40,20,5,95,5,100,150,0.0010037141619250178,3.1868691444396973,0.00039565757033415138,79.131151316779082,39.66400707454185,6.8431511132777549,1.06328745502754
DP 9,40,37.5,40,20,5,90,5,100,150,0.00095894257538020622,3.8398952484130859,0.00037965802403050475,75.931296587337187,38.139566210133353,6.8779454907184956,1.0868341352151911
DP 10,50,32.5,50,25,4,90,4,100,150,0.0010164702543988824,5.8332028388977051,0.00048385383464240778,96.770665292630582,48.445056346984167,10.459052111595561,1.1058012846906631
DP 11,50,32.5,50,25,5,90,5,100,150,0.00080122891813516617,3.0420913696289063,0.00030911433350411244,61.822554574125704,31.058815611125588,5.4489051479795769,1.30699515356253
DP 12,45,35,45,22.5,4,90,4,100,150,0.0011128756450489163,6.5182156562805176,0.0005369570862967521,107.39102819538977,53.762989048963512,11.687568735553798,1.0116374609335979
DP 13,45,35,45,22.5,5,90,5,100,150,0.00087406492093577981,3.3972611427307129,0.00034136916510760782,68.2734592917363,34.20634697226749,6.0851608421025318,1.196914644388861
DP 14,40,37.5,40,20,5,100,5,100,150,0.0010439682519063354,2.6503937244415283,0.00041136890649795532,82.273387676089314,41.179188846307191,6.8953675453087353,1.0501567953475219
DP 15,45,35,45,22.5,4,100,4,100,150,0.0012318883091211319,4.4937920570373535,0.00058470874015862739,116.94165956783446,58.55047646826101,11.730650988793661,0.9787736542135681
DP 16,45,35,45,22.5,5,100,5,100,150,0.000951109454035759,2.3457033634185791,0.00037049086531624196,74.097805686038356,37.0867042237377,6.1031295575730464,1.1556529156655624
DP 17,50,32.5,50,25,4,100,4,100,150,0.00112707179505378,4.0220513343811035,0.00052847957704216242,105.69583803164718,52.923379795215766,10.499101009997586,1.0692861465593377
DP 18,50,32.5,50,25,5,100,5,100,150,0.000873179582413286,2.1010324954986572,0.00033621303009567782,67.24235198489653,33.661560983007845,5.466571327697797,1.2611490359836026
DP 20,45,35,45,22.5,4,95,4,100,150,0.0011705055367201567,5.4074320793151855,0.00056045137898763642,112.09000127804381,56.142625695583455,11.635437880247151,0.99052486111238258
DP 21,45,35,45,22.5,5,95,5,100,150,0.00091416615759953856,2.8200621604919434,0.00035586689045885578,71.173143318480783,35.630859329199254,6.0557133968623127,1.170424764007123
